Word,Emotion,Polarity,Social,Moral,Thought
perception,4.59,4.3,4.67,5.13,5.5
performance,3,5,3.47,3.85,4.75
permission,3,3.64,4.03,4.81,4.09
personality,5.44,5.25,5.31,5.3,5.92
pest,2.59,3.09,2.73,2.25,3.32
phenomenon,3.03,4.18,3.18,2.58,4.31
philosophy,3.79,4.03,4.27,4.61,5.84
photo,3.72,4.06,3.64,1.94,3.38
photograph,2.73,3.9,3.54,2.69,3.93
physics,1.73,2.7,1.77,3.85,3.93
pie,2.59,4.12,1.76,1.77,1.5
pig,2.28,2.91,1.64,1.58,1.78
pigeon,1.97,2.67,1.48,1.58,1.5
pile,2.09,2.7,1.62,1.62,2.64
pill,2.56,2.83,1.75,1.6,2.67
pillow,2.31,4.21,2.03,1.84,1.41
pimple,2.34,3.45,2.09,1.71,1.59
play,3.48,4.72,3.76,2.85,3.08
poetry,2.94,4.07,2.74,2.25,4.55
policeman,3.28,3.7,4.15,3.61,2.47
poll,3.34,2.8,2.73,2.5,3.82
pond,2.28,3.39,1.85,1.52,1.84
pool,2.27,4.1,2.08,2.38,2.14
possibility,3.69,4.33,3.42,3.94,5.06
potato,2.31,3.3,1.48,1.58,1.53
prediction,3.41,3.52,3.24,3.65,4.94
preference,4.38,4,3.39,4.19,5
preparation,3.03,4.06,2.94,3.84,4.56
presence,3.69,3.36,4.21,3.16,3.84
pretense,3.79,3.45,3.55,3.58,4.53
principle,3.67,4.66,3.5,6.4,5.59
produce,2.36,3.6,2.08,2.77,4.07
production,2.93,3.64,3.67,2.23,4.41
professor,2.46,4.5,3.84,3.85,4.21
promotion,3.79,4.55,3.79,3.13,4.06
proof,3.07,4.58,3.18,4.26,5.03
prop,2,2.8,1.69,2.31,2.86
propeller,1.59,2.48,1.91,1.48,1.81
property,2,3.9,2.85,2.92,2.28
proportion,2.31,3.7,2.45,2.52,4.03
protection,4.09,5,2.85,4.46,4.5
psalm,3,2.87,2.37,2.38,3.69
puddle,1.64,2.9,1.77,2.16,2.5
punishment,4.09,3.7,3.69,4.23,3.79
puppy,3.76,4.64,2.55,1.94,2.03
purpose,4.45,4.58,4.3,4.87,5.09
pyramid,2.1,3.06,2.55,1.61,3.06
quality,3.41,4.76,3.33,4.03,4.69
queen,2.31,3.12,3.97,2.03,2.09
rabbit,2.62,3.12,1.45,1.68,1.69
radio,2.56,3.42,2.06,2.1,3.17
rainbow,3.69,4.12,2.03,1.94,1.75
raspberry,2.03,3.33,1.61,1.55,1.53
real,2.45,4.8,2.69,3.54,5.07
reality,4.55,4.39,3.97,4.48,5.31
reason,3,4.4,2.69,4.77,5.36
rebel,3.55,4.1,3.39,3.85,3.86
recital,2.27,2.4,2.39,2.15,4.07
recognition,4.1,4.24,4.67,4.26,5.19
record,1.89,2.83,2.06,2.9,3.17
reduction,2.21,2.91,2.18,2.26,3.81
reflex,2.18,3.6,2,3.61,3.21
refrigerator,2.28,3.42,2.12,1.68,1.59
regret,5.27,4.4,4.23,3.62,5.5
regulation,2.66,3.45,2.94,4.9,4.25
reinforcement,3.17,3.76,3.76,4.45,3.84
relief,5,5.42,2.56,3.3,5.33
rent,1.64,3.7,2.84,3.23,2.14
replacement,3,3.36,2.76,2.42,3.25
republic,1.91,2.5,3.23,3.38,2.71
reputation,4.17,4.91,4.76,4.32,4.53
requirement,2.93,3.61,2.97,3.97,3.69
resort,2,3.7,2.38,2.7,3.14
response,4.1,3.45,3.85,4.26,4.75
responsibility,4.66,5.3,5.03,5.87,5.44
result,2.64,4.1,2.38,3.46,4.43
retention,2.59,3.64,3.15,3.1,4.06
revenge,5.07,3.82,4.94,4,4.81
rhyme,2.31,2.64,2.05,2.55,3.75
riddle,2.63,3.6,3,2.38,3.79
ring,2.89,3.17,4.5,2.5,2.75
riot,3.82,3.8,3.46,2.92,3.07
risk,4.44,3.75,3.63,4.3,4.08
river,2.41,3.82,1.88,1.61,2.13
road,1.76,3.27,2.33,1.94,1.69
robbery,2.91,3.2,3.92,3.46,3.08
robin,2.24,3.15,1.79,1.61,1.72
rocket,2,3.09,2.06,1.52,2.28
roof,2.07,3,2.09,1.55,1.75
route,2,2.6,2.38,2.77,2.5
rule,2.27,3.4,2.85,3.38,4.28
sadness,5.82,4.3,2.38,3.61,5.22
safety,3.91,5.6,2.38,4.69,4.57
salad,1.83,3.48,1.82,1.58,1.69
