"Occurrences","Word","LgSUBTLWF","OLD","PLD","I_Mean_RT","I_Zscore","I_Mean_Accuracy"
"1","cable","3.045","1.650","1.450","584.824","-0.792","1.00"
"1","caboose","1.491","2.700","2.100","844.167","0.193","0.69"
"1","cactus","2.173","2.550","2.000","729.618","-0.254","1.00"
"1","cadaver","1.785","2.900","2.900","718.385","0.047","0.81"
"1","caddie","1.568","2.200","1.200","820.815","0.036","0.82"
"1","cafeteria","2.462","3.700","4.250","768.794","0.003","1.00"
"1","caffeine","2.179","3.350","2.000","684.781","-0.350","0.94"
"1","cagey","1.477","1.850","1.900","873.643","0.257","0.42"
"1","cahoots","1.518","2.850","2.750","873.333","0.573","0.51"
"1","calamity","2.013","2.850","2.750","704.069","-0.015","0.88"
"1","calculate","2.029","2.750","3.500","637.879","-0.397","1.00"
"1","calculation","1.518","2.700","3.500","682.212","-0.381","1.00"
"1","calculator","1.826","3.300","3.550","616.483","-0.517","0.91"
"1","caliber","2.146","2.700","2.500","790.032","-0.049","0.91"
"1","calligraphy","1.462","4.700","3.700","839.346","0.203","0.87"
"1","calm","3.657","1.750","1.000","587.152","-0.678","1.00"
"1","camaraderie","1.447","5.450","5.850","977.056","0.918","0.62"
"1","cameo","1.398","1.850","1.950","665.065","-0.399","0.91"
"1","camera","3.464","2.100","1.950","631.794","-0.502","1.00"
"1","cameraman","2.045","3.500","3.050","929.583","0.711","0.80"
"1","camouflage","1.978","4.450","3.700","869.964","0.306","0.93"
"1","camp","3.417","1.200","1.300","652.909","-0.541","1.00"
"1","campaign","2.933","2.950","2.050","707.848","-0.379","0.97"
"1","camping","2.500","1.950","1.950","660.294","-0.431","0.97"
"1","campsite","1.491","2.700","3.400","812.241","-0.019","0.88"
"1","can","5.428","1.000","1.000","596.412","-0.687","1.00"
"1","cancel","2.970","1.850","1.600","553.485","-0.800","1.00"
"1","cancer","3.057","1.700","1.700","616.529","-0.774","1.00"
"1","candid","2.013","2.250","1.900","744.531","-0.175","0.94"
"1","candidacy","1.518","3.650","3.800","827.750","-0.012","0.85"
"1","candidate","2.639","3.000","2.850","694.294","-0.428","1.00"
"1","candle","2.613","1.900","1.500","580.647","-0.709","1.00"
"1","candlelight","1.935","4.750","4.500","734.273","-0.226","1.00"
"1","candlestick","1.415","4.600","4.700","788.485","-0.066","0.97"
"1","candor","1.716","1.950","1.500","767.200","0.193","0.62"
"1","candy","3.261","1.650","1.100","684.188","-0.530","0.97"
"1","cannabis","1.380","3.600","2.900","791.958","0.193","0.69"
"1","cannibal","1.756","2.900","1.850","624.939","-0.409","1.00"
"1","cannibalism","1.477","#","#","#","#","#"
"1","cannonball","1.869","4.600","3.950","833.906","0.153","0.94"
"1","canoe","2.263","1.850","1.850","723.581","-0.424","0.94"
"1","cantaloupe","1.591","4.500","3.400","819.452","0.122","0.94"
"1","canteen","1.944","2.800","2.250","746.667","-0.083","0.91"
"1","canvass","1.699","2.650","2.000","780.381","-0.200","0.62"
"1","capability","1.851","3.300","3.300","772.536","-0.111","0.93"
"1","capable","3.026","2.200","2.250","667.000","-0.467","1.00"
"1","capacity","2.617","2.800","2.700","649.697","-0.495","0.97"
"1","capital","2.812","2.550","2.500","625.281","-0.549","0.97"
"1","capitalist","1.898","3.200","3.450","810.971","0.024","1.00"
"1","capitalize","1.398","3.100","3.350","660.469","-0.280","1.00"
"1","captain","4.026","2.500","1.850","582.226","-0.670","1.00"
"1","captive","2.068","2.500","2.650","584.697","-0.666","1.00"
"1","captivity","1.813","3.100","3.550","612.613","-0.516","0.97"
"1","capture","2.733","2.100","1.750","620.118","-0.628","1.00"
"1","car","4.392","1.000","1.000","642.094","-0.619","0.94"
"1","caramel","1.806","2.750","2.450","810.118","-0.147","0.97"
"1","caravan","1.875","2.650","2.700","765.781","0.009","0.94"
"1","carcass","1.903","2.550","1.950","748.133","0.006","0.88"
"1","cardboard","2.143","2.950","3.250","714.226","-0.256","0.94"
"1","cardiac","2.308","2.850","3.100","730.469","-0.204","0.97"
"1","cardigan","1.477","3.150","3.700","777.516","0.034","0.91"
"1","care","4.394","1.000","1.000","580.030","-0.813","0.97"
"1","career","3.363","1.800","2.450","627.500","-0.656","1.00"
"1","carefree","1.845","3.400","3.600","773.485","-0.060","0.97"
"1","careful","3.744","2.550","2.600","587.515","-0.712","1.00"
"1","careless","2.401","2.300","1.900","611.182","-0.544","0.97"
"1","carelessness","1.532","4.000","3.050","829.697","0.246","1.00"
"1","caress","1.845","1.950","1.950","736.300","-0.074","0.94"
"1","caretaker","2.100","3.350","3.900","642.455","-0.460","0.97"
"1","carnage","1.763","2.300","2.650","718.793","-0.124","0.85"
"1","carnal","1.792","1.900","1.950","736.417","-0.102","0.73"
"1","carnation","1.643","2.600","2.900","780.310","-0.037","0.94"
"1","carnival","2.561","2.800","3.150","587.559","-0.600","1.00"
"1","carnivorous","1.431","4.450","4.450","827.933","0.144","0.97"
"1","carpal","1.415","2.000","1.950","868.750","0.281","0.61"
"1","carpenter","2.487","3.050","3.050","661.581","-0.472","0.97"
"1","carpentry","1.380","3.500","3.850","741.429","-0.176","0.97"
"1","carpet","2.775","1.900","1.950","646.031","-0.575","0.97"
"1","carpeting","1.477","2.750","2.850","743.750","-0.241","0.97"
"1","carriage","2.582","2.500","2.050","664.200","-0.387","0.88"
"1","carrier","2.514","1.800","1.800","584.156","-0.570","0.97"
"1","carsick","1.505","2.850","2.850","724.625","-0.129","0.97"
"1","cartel","1.819","1.750","2.350","916.381","0.140","0.66"
"1","cartilage","1.580","3.500","3.650","786.484","0.062","0.91"
"1","cartoon","2.286","2.300","2.300","634.606","-0.449","1.00"
"1","cartridge","1.699","3.100","3.050","804.971","-0.057","0.97"
"1","cascade","1.518","2.700","2.700","730.194","-0.129","0.94"
"1","cashmere","1.892","3.050","2.800","680.069","-0.336","0.91"
"1","casserole","1.935","3.850","3.150","716.242","-0.207","0.97"
"1","castaway","1.518","3.300","3.600","707.710","-0.177","0.94"
"1","caste","1.653","1.400","1.000","695.077","-0.195","0.79"
"1","castle","3.041","1.850","1.500","615.094","-0.580","0.97"
"1","castration","1.398","2.950","3.100","930.645","0.446","0.94"
"1","casual","2.573","2.150","2.450","626.774","-0.459","0.97"
"1","casualty","2.143","2.950","3.200","873.933","-0.024","0.94"
"1","catalogue","2.037","#","#","#","#","#"
"1","catalyst","1.613","2.900","2.600","649.273","-0.337","0.97"
"1","catapult","1.505","3.550","3.750","881.800","0.244","0.88"
"1","catastrophe","2.104","4.900","4.400","739.259","-0.237","0.87"
"1","catastrophic","1.819","5.250","5.250","813.419","0.196","0.91"
"1","catatonic","1.613","3.700","4.100","833.667","0.284","0.88"
"1","catchphrase","1.342","5.100","4.400","966.375","0.683","0.71"
"1","catchy","2.041","2.000","1.900","796.606","-0.023","0.94"
"1","category","2.318","3.550","3.500","657.853","-0.516","0.97"
"1","cater","1.813","1.650","1.450","752.393","-0.043","0.80"
"1","caterer","2.029","2.600","2.750","903.792","0.267","0.75"
"1","caterpillar","1.763","4.700","4.600","765.030","0.016","1.00"
"1","catfish","1.806","2.850","2.800","601.788","-0.620","0.97"
"1","cathedral","2.281","3.800","3.850","714.806","-0.197","1.00"
"1","Catholic","2.804","3.400","2.650","635.971","-0.542","1.00"
"1","catnip","1.342","2.850","2.800","814.739","0.127","0.72"
"1","cattle","2.829","1.800","1.300","649.485","-0.466","1.00"
"1","catwalk","1.568","2.900","3.050","664.086","-0.483","1.00"
"1","cauldron","1.398","3.850","3.000","794.083","-0.076","0.71"
"1","cauliflower","1.462","4.700","4.500","752.152","-0.001","0.97"
"1","cause","4.199","1.750","1.000","568.242","-0.698","1.00"
"1","caution","2.422","2.150","1.800","647.594","-0.426","0.91"
"1","cautious","2.236","2.450","1.900","631.941","-0.467","1.00"
"1","cavalier","1.785","3.150","3.850","800.152","-0.061","1.00"
"1","caveman","2.017","2.700","3.200","590.818","-0.520","1.00"
"1","caviar","2.292","2.650","3.000","855.923","0.097","0.81"
"1","caving","1.505","1.500","1.600","762.621","-0.126","0.88"
"1","cayenne","1.591","2.900","2.000","750.429","0.291","0.45"
"1","cease","2.649","1.600","1.000","716.094","-0.370","0.97"
"1","ceiling","2.630","1.850","1.050","660.606","-0.400","0.97"
"1","celebrate","3.103","2.450","2.700","682.719","-0.512","0.97"
"1","celebration","2.703","2.800","3.000","713.909","-0.231","1.00"
"1","celebrity","2.572","3.250","3.250","748.412","-0.196","1.00"
"1","celestial","1.748","3.900","3.850","718.935","-0.220","0.89"
"1","celibacy","1.643","3.850","3.400","910.481","0.165","0.84"
"1","celibate","1.568","#","#","#","#","#"
"1","cellist","1.342","2.650","2.750","852.591","0.300","0.65"
"1","cellophane","1.633","4.800","3.000","772.208","0.108","0.73"
"1","cellular","2.164","3.450","2.800","681.500","-0.411","1.00"
"1","celluloid","1.398","4.600","4.550","886.800","0.303","0.59"
"1","cemetery","2.647","3.100","2.700","776.581","0.101","0.94"
"1","censor","1.633","2.050","1.550","687.667","-0.433","0.97"
"1","census","1.851","2.000","1.800","693.091","-0.311","0.97"
"1","centennial","1.322","3.800","3.700","982.481","0.521","0.79"
"1","centipede","1.362","3.800","3.800","848.621","0.118","0.91"
"1","central","3.101","2.500","2.500","608.061","-0.672","1.00"
"1","century","3.027","2.550","3.050","660.812","-0.476","0.94"
