No,Word,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised
51,trial,5.7879,1.2424,2.6061,0.1212,2.2121,3.0000,2.2121,0.4242,3.0000,0.3333,2.2121,1.9091,1.0606,2.2727,1.5152
511,tribute,4.5556,0.8148,2.7407,0.9259,1.8148,2.7407,0.0741,3.6667,0.4815,3.8889,2.5185,0.2593,0.2222,0.1852,1.7407
401,trombone,1.1379,0.2069,1.5862,0.2759,0.9655,1.5862,0.5862,3.0345,0.3448,2.4483,0.3448,0.0345,0.0690,0.0000,1.0000
512,truce,5.6333,2.2667,3.7667,0.6000,2.9333,5.4667,0.8000,3.4667,0.2333,3.7667,0.1333,0.3333,0.0667,0.3667,1.9667
452,truck,0.9286,0.0357,0.5714,0.7143,0.2143,4.2143,3.3929,2.3571,0.3571,1.7500,0.0714,0.2857,0.2857,0.5357,0.4643
402,trumpet,2.0333,0.1000,1.8667,0.2333,1.1000,1.5000,0.2667,3.2000,0.4667,2.5000,0.7000,0.1000,0.1000,0.1000,1.5667
345,trust,4.2414,1.3448,2.5172,3.9310,4.6207,5.2414,1.5862,4.3448,0.2759,4.5862,0.4828,0.7241,0.2414,0.8621,1.5172
488,truth,3.5333,0.8667,3.5333,4.2333,3.7000,5.1333,2.7000,3.3333,2.1333,3.6667,2.1333,2.2667,1.3000,1.9667,3.0000
403,tuba,1.6667,0.0667,1.9000,0.3333,0.9333,2.0667,0.3667,3.2000,0.5000,2.3667,0.3333,0.3000,0.0667,0.1333,1.5333
337,tulip,0.7931,0.0345,0.7241,0.1379,0.0345,1.9310,0.2759,5.1034,0.1379,4.5172,0.1379,0.0345,0.0345,0.0345,0.8621
293,turtle,0.0741,0.8519,0.0741,0.3704,0.2593,0.8148,0.6296,2.6296,0.5926,1.7778,0.3333,0.0370,0.5185,0.5926,1.0000
437,umbrella,0.0690,0.0000,0.2414,0.2069,0.0690,4.6897,0.9310,1.5172,0.1724,0.8966,0.2414,0.0000,0.0345,0.1379,0.1724
27,used,0.7727,0.3636,0.2273,0.2727,0.4545,0.6364,0.4545,1.0455,1.9091,0.4091,1.0909,0.5909,1.6818,0.4091,0.2273
231,used,2.3478,4.3043,2.3913,4.5652,3.1739,3.0435,1.3043,2.3913,0.5652,1.5217,0.6087,0.7826,0.3478,0.3478,1.0435
52,vacation,4.8929,0.9643,0.6071,1.3929,1.3571,4.4643,0.1429,5.7500,0.0357,5.5000,0.1071,0.0357,0.0714,0.1786,1.7857
453,van,1.2222,0.0000,0.4444,0.7037,0.3704,3.3704,2.1852,1.6667,0.2593,1.0741,0.0741,0.0741,0.2222,0.4444,0.0741
489,verb,2.6667,0.9524,4.7143,0.3810,2.3810,1.7143,0.8095,1.3333,0.3810,1.3810,0.7619,0.8095,0.5714,0.5714,1.0952
490,vice,2.8889,0.7778,0.6667,2.3704,4.0000,0.4815,5.0741,1.1852,3.8519,1.7037,2.9259,2.8519,3.2593,2.5556,1.4815
147,victim,3.0000,5.1379,0.8276,0.8621,1.0345,1.3448,1.3448,0.4483,2.7241,0.1379,5.1724,2.9310,1.8621,2.6897,2.1724
232,visited,5.1852,4.4444,3.4444,3.8148,1.5926,2.8519,0.4815,4.1111,1.0741,3.1852,0.6296,0.3704,0.2593,0.3333,1.2963
418,volcano,0.4643,0.0714,0.0714,0.0357,0.0714,0.3571,5.8214,0.6786,3.5000,0.2500,1.6786,1.1786,0.4643,4.2143,3.5714
148,voter,3.2667,5.5000,3.0667,3.2333,2.5000,4.3333,1.4667,2.1333,0.9333,2.3667,0.5667,1.2000,0.7333,0.4667,1.3667
233,walked,1.3793,3.2759,0.6897,4.4138,0.5172,4.0000,0.6552,3.5862,0.5172,2.0000,0.2414,0.2759,0.2414,0.2414,0.3793
241,wanted,2.3846,4.7692,2.1923,3.4615,4.4615,2.6923,1.0385,2.3462,0.8846,2.1154,1.3077,0.8462,0.6538,0.6923,0.6923
234,watched,2.2069,2.7586,2.4483,3.5862,2.4483,1.8966,0.9310,2.0690,0.8966,0.9655,0.1379,0.3448,0.3103,1.2759,1.6207
112,water,0.5172,0.0000,0.2759,0.9310,0.0000,4.8966,1.7586,3.7241,0.1034,1.9310,0.0345,0.0000,0.0000,0.2069,0.2069
28,wealthy,1.5769,2.0385,0.9231,1.2692,1.0385,4.6538,0.6154,3.6923,0.2692,4.1538,0.2308,0.3077,0.2308,0.0385,0.2692
235,went,1.7097,3.4194,0.7742,2.9677,0.8065,1.3871,0.4839,1.5484,0.5161,1.0323,0.5806,0.5484,0.2258,0.3871,0.3871
294,whale,0.3667,1.3000,0.4333,0.2000,0.2667,0.9667,2.4333,2.9000,0.3000,2.2667,0.4000,0.0667,0.0667,1.5333,1.6333
264,whine,3.1333,0.4667,4.3333,0.3333,2.5000,0.5000,0.6000,0.3667,4.8000,0.1000,2.3667,3.1333,1.9667,0.6667,1.7000
34,white,0.6129,0.2258,0.3226,1.5161,0.1613,0.2581,0.0968,1.3226,0.1935,0.8065,0.1613,0.1935,0.0323,0.3548,0.2903
491,whole,0.8571,0.5714,0.3810,1.1905,1.4762,1.4286,0.1429,1.2381,0.3810,1.1905,0.3333,0.3333,0.1429,0.2857,0.1905
113,window,0.2500,0.0000,0.4286,0.1786,0.1071,2.2500,0.6786,2.1429,0.0000,1.1429,0.0357,0.0000,0.0000,0.0714,0.3571
179,winter,0.6429,0.0000,0.1429,0.2500,0.2857,0.9643,2.0714,2.6786,2.1429,2.2857,1.6786,0.8929,0.2857,1.0000,0.9643
346,wit,3.8929,1.4643,3.7143,3.5357,4.9286,2.9643,1.3214,3.5000,0.8214,3.6786,0.7143,1.0714,0.2857,0.3214,2.7143
149,witness,3.6333,5.4667,2.2333,0.6667,1.2667,4.4667,1.7667,1.0667,0.6333,0.8333,0.9000,0.5667,0.2667,1.1333,1.6000
367,woe,1.7586,0.2759,1.3793,1.0000,4.6552,0.2414,2.2759,0.2414,5.4828,0.0000,5.6207,2.4483,2.3103,2.8621,0.9310
