Occurrences,Word,Length,LgSUBTLWF,Ortho_N,Phono_N,OLD,PLD,POS,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
1,schooner,8,1.591,0,4,2.8,1.8,NN,"1,080.36",0.33,835.278,0.783
1,science,7,3.279,0,1,2.75,1.85,NN,572.706,1,608.893,1
1,scientific,10,2.764,0,0,4.35,4.3,JJ,728.312,1,716.407,1
1,scientist,9,2.794,0,0,3.7,3.05,NN,637.097,0.94,673.345,1
1,scoff,5,1.342,1,4,1.95,1.8,VB|NN,827.762,0.64,680,1
1,scold,5,1.833,2,6,1.85,1.7,VB,755.5,0.97,710.143,1
1,scoot,5,2.185,5,12,1.7,1.5,VB,759.69,0.83,771.48,1
1,scorch,6,1.398,1,4,2.05,1.95,NN|VB,791.926,0.84,676.6,0.962
1,scorching,9,1.322,1,1, , ,VB|NN|JJ, , , , 
1,score,5,3.191,9,8,1.35,1.3,NN|VB,597.697,1,671.571,1
1,scoreboard,10,1.505,0,0,3.45,3.05,NN,724.194,0.94,708.444,1
1,scorer,6,1.342,3,7, , ,NN, , , , 
1,scorn,5,1.778,4,6,1.75,1.65,NN|VB,682.588,1,706.571,1
1,scornful,8,0.699,0,0,3.4,3.7,JJ,729.188,0.94,738.786,1
1,scorpion,8,2.137,1,0,3.1,3.2,NN,667.344,0.97,698.852,1
1,Scotch,6,2.877,1,5,1.95,1.75,NN|VB,651.441,1,671.222,1
1,scoundrel,9,2.185,0,0,3.65,3.65,NN,711.179,0.88,761.833,0.96
1,scour,5,1.505,1,6,1.85,1.7,VB,688.286,0.62,810.208,0.857
1,scourge,7,1.833,0,3,2.5,1.9,NN,787.44,0.76,851.238,0.84
1,scram,5,2.255,5,7,1.8,1.8,NN|VB,842.143,0.85,736.429,0.966
1,scramble,8,2.093,1,0,2.4,2.45,NN|VB,645.303,1,682.32,1
1,scrambled,9,2.566,3,2,2.55,2.65,VB,623.414,0.94,694.269,1
1,scrambler,9,1.462,2,2,2.7,3.55,NN,731.424,0.97,684.444,1
1,scrapbook,9,1.792,0,0,3.95,3.85,NN,718.382,1,720.24,1
1,scrape,6,2.324,1,2,1.75,1.8,NN|VB,751.848,0.97,723.4,0.962
1,scrappy,7,1.491,0,4,2.35,1.75,JJ,769.452,0.94,805.84,0.926
1,scratch,7,2.983,0,4,2.35,1.85,NN|VB,657.714,1,690.407,1
1,scratchy,8,1.699,0,4,2.65,2.2,JJ,709.29,1,709.889,1
1,scrawny,7,1.909,0,0,2.75,2.35,JJ,729.355,0.94,765.5,0.929
1,screening,9,2.24,0,2,2.6,1.9,NN|VB,722.455,1,718.192,1
1,screenplay,10,2.127,0,0,4.35,4.3,NN,712.438,0.94,759.885,1
1,screwball,9,1.763,0,0,3.9,3.8,JJ|NN,702,0.97,716.25,1
1,screwdriver,11,2.111,0,0,4.95,5.15,NN,831.571,0.88,819.821,1
1,screwy,6,1.959,1,3,2.05,1.85,JJ,717.481,0.79,730.038,0.929
1,scribble,8,1.518,1,1,2.65,2.4,VB|NN,695.088,1,742.577,0.963
1,scrimmage,9,1.613,1,0,3.7,3,NN,864.172,0.81,786.28,1
1,script,6,3,1,5,2.3,1.75,NN,610.176,1,668.667,1
1,scripture,9,1.845,0,0,3,2.75,NN,705.484,1,729.643,1
1,scrotum,7,1.477,0,0,2.95,2.95,NN,899.214,0.93,817.148,1
